run_id,condition,vuln_id,detected
A1,A,V1,0
A1,A,V2,0
A1,A,V3,0
A1,A,V4,1
A1,A,V5,0
A1,A,V6,1
A1,A,V7,0
A1,A,V8,0
A1,A,V9,0
A1,A,V10,0
A1,A,V11,0
A1,A,V12,0
A1,A,V13,0
A1,A,V14,0
A1,A,V15,0
A1,A,V16,0
A1,A,V17,0
A1,A,V18,0
A2,A,V1,0
A2,A,V2,0
A2,A,V3,0
A2,A,V4,0
A2,A,V5,0
A2,A,V6,1
A2,A,V7,0
A2,A,V8,0
A2,A,V9,1
A2,A,V10,0
A2,A,V11,0
A2,A,V12,0
A2,A,V13,0
A2,A,V14,0
A2,A,V15,0
A2,A,V16,0
A2,A,V17,0
A2,A,V18,0
A3,A,V1,0
A3,A,V2,0
A3,A,V3,0
A3,A,V4,0
A3,A,V5,0
A3,A,V6,0
A3,A,V7,0
A3,A,V8,0
A3,A,V9,0
A3,A,V10,0
A3,A,V11,0
A3,A,V12,0
A3,A,V13,0
A3,A,V14,0
A3,A,V15,0
A3,A,V16,0
A3,A,V17,0
A3,A,V18,1
A4_rerun,A,V1,0
A4_rerun,A,V2,0
A4_rerun,A,V3,0
A4_rerun,A,V4,0
A4_rerun,A,V5,0
A4_rerun,A,V6,0
A4_rerun,A,V7,0
A4_rerun,A,V8,0
A4_rerun,A,V9,1
A4_rerun,A,V10,0
A4_rerun,A,V11,0
A4_rerun,A,V12,0
A4_rerun,A,V13,0
A4_rerun,A,V14,0
A4_rerun,A,V15,0
A4_rerun,A,V16,0
A4_rerun,A,V17,0
A4_rerun,A,V18,0
A5,A,V1,0
A5,A,V2,0
A5,A,V3,0
A5,A,V4,0
A5,A,V5,0
A5,A,V6,0
A5,A,V7,0
A5,A,V8,0
A5,A,V9,1
A5,A,V10,0
A5,A,V11,0
A5,A,V12,0
A5,A,V13,0
A5,A,V14,0
A5,A,V15,0
A5,A,V16,0
A5,A,V17,0
A5,A,V18,1
Aprime1,Aprime,V1,0
Aprime1,Aprime,V2,0
Aprime1,Aprime,V3,1
Aprime1,Aprime,V4,1
Aprime1,Aprime,V5,0
Aprime1,Aprime,V6,1
Aprime1,Aprime,V7,0
Aprime1,Aprime,V8,0
Aprime1,Aprime,V9,1
Aprime1,Aprime,V10,0
